listing_id,title,price,bhk,area_sqft,age_years,parking,location,price_per_sqft,price_text,area_text,page_scraped
17580409,4 BHK Independent Builder Floor in Safdarjung Enclave,80000000.0,4.0,2700.0,1.0,1.0,,29629.62962962963,₹8.0 Cr,2700 sq.ft,357
17291428,4 BHK Independent Builder Floor in Sarvodaya Enclave,95000000.0,4.0,4500.0,1.0,1.0,,21111.11111111111,₹9.5 Cr,4500 sq.ft,357
17569373,4 BHK Independent Builder Floor in Greater Kailash,65000000.0,4.0,2700.0,1.0,1.0,,24074.074074074073,₹6.5 Cr,2700 sq.ft,357
17569491,4 BHK Independent Builder Floor in Safdarjung Enclave,70000000.0,4.0,2700.0,1.0,1.0,,25925.925925925927,₹7.0 Cr,2700 sq.ft,357
17596833,3 BHK Independent Builder Floor in Greater Kailash,47500000.0,3.0,1900.0,1.0,1.0,,25000.0,₹4.75 Cr,1900 sq.ft,357
18144770,3 BHK Independent Builder Floor in Ashok Vihar,32500000.0,3.0,1332.0,1.0,1.0,,24399.3993993994,₹3.25 Cr,1332 sq.ft,357
17572608,1 BHK Flat in Sector 23B Dwarka,45.1,1.0,425.0,1.0,1.0,Sector 23B,0.10611764705882354,₹45.1,425 sq.ft,357
14136712,2 BHK Independent Builder Floor in Sector 24 Rohini,71.0,2.0,750.0,1.0,1.0,Sector 24,0.09466666666666666,₹71.0,750 sq.ft,357
17367191,3 BHK Flat in Sector 11 Dwarka,31100000.0,3.0,1700.0,1.0,1.0,Sector 11,18294.117647058825,₹3.11 Cr,1700 sq.ft,357
17372034,3 BHK Flat in Sector 18 Dwarka,28200000.0,3.0,1700.0,1.0,1.0,Sector 18,16588.235294117647,₹2.82 Cr,1700 sq.ft,357
17825356,3 BHK Flat in Sector 7 Dwarka,31500000.0,3.0,1700.0,1.0,1.0,Sector 7,18529.41176470588,₹3.15 Cr,1700 sq.ft,357
17373250,2 BHK Flat in Sector 18 Dwarka,22500000.0,2.0,1500.0,1.0,1.0,Sector 18,15000.0,₹2.25 Cr,1500 sq.ft,357
17776868,3 BHK Flat in Sector 4 Dwarka,27000000.0,3.0,1850.0,1.0,1.0,Sector 4,14594.594594594595,₹2.7 Cr,1850 sq.ft,357
17988796,3 BHK Independent Builder Floor in Deenpur,48.0,3.0,810.0,,1.0,,0.05925925925925926,₹48.0,810 sq.ft,357
17377747,3 BHK Independent Builder Floor in Sector 25 Rohini,11200000.000000002,3.0,950.0,1.0,1.0,Sector 25,11789.473684210529,₹1.12 Cr,950 sq.ft,357
17377751,3 BHK Independent Builder Floor in Sector 25 Rohini,11200000.000000002,3.0,1000.0,1.0,,Sector 25,11200.000000000002,₹1.12 Cr,1000 sq.ft,357
17377791,3 BHK Independent Builder Floor in Sector 25 Rohini,85.0,3.0,850.0,1.0,1.0,Sector 25,0.1,₹85.0,850 sq.ft,357
18301134,3 BHK Independent Builder Floor in Sector 11 Rohini,30000000.0,3.0,1200.0,1.0,1.0,Sector 11,25000.0,₹3.0 Cr,1200 sq.ft,357
8957253,3 BHK Independent Builder Floor in Sector 23 Rohini,82.0,3.0,850.0,1.0,1.0,Sector 23,0.09647058823529411,₹82.0,850 sq.ft,357
16806338,3 BHK Independent Builder Floor in Sector 24 Rohini,59.11,3.0,1000.0,1.0,,Sector 24,0.05911,₹59.11,1000 sq.ft,357
17253827,4 BHK Flat in Sector 7 Dwarka,28500000.0,4.0,2400.0,1.0,1.0,Sector 7,11875.0,₹2.85 Cr,2400 sq.ft,357
16826554,3 BHK Independent Builder Floor in Govindpuri,47.0,3.0,900.0,1.0,,,0.052222222222222225,₹47.0,900 sq.ft,357
17760935,3 BHK Flat in Sector 11 Dwarka,23800000.0,3.0,1650.0,1.0,1.0,Sector 11,14424.242424242424,₹2.38 Cr,1650 sq.ft,357
17367308,3.5 BHK Flat in Pitampura,38000000.0,5.0,1500.0,1.0,1.0,,25333.333333333332,₹3.8 Cr,1500 sq.ft,357
17114830,3 BHK Flat in Sector 9 Dwarka,34800000.0,3.0,1600.0,1.0,,Sector 9,21750.0,₹3.48 Cr,1600 sq.ft,357
17458468,4 BHK Independent Builder Floor in Sector 5 Rohini,22500000.0,4.0,1300.0,,1.0,Sector 5,17307.69230769231,₹2.25 Cr,1300 sq.ft,357
